date,product,price,volume,country,indicator
2022-09-22,WHEAT,380.00,470.0,Italy,STABLE
2022-10-12,OLIVE_OIL,3750.00,142.0,France,RISING
2022-10-25,CITRUS_FRUITS,1140.00,195.0,Spain,STABLE
2022-11-10,DATES,3000.00,110.0,Germany,RISING
2022-11-22,OLIVE_OIL,3800.00,145.0,France,RISING
2022-12-08,PEPPERS,920.00,215.0,Belgium,VOLATILE
2022-12-20,TOMATOES,820.00,310.0,Italy,STABLE
2023-01-10,OLIVE_OIL,3850.00,148.0,France,RISING
2023-01-22,DATES,3050.00,112.0,Netherlands,STABLE
2023-02-08,CITRUS_FRUITS,1160.00,200.0,Germany,RISING
2023-02-20,WHEAT,390.00,480.0,France,STABLE
2023-03-12,OLIVE_OIL,3900.00,150.0,France,RISING
2023-03-25,DATES,3100.00,115.0,Italy,RISING
2023-04-10,TOMATOES,840.00,315.0,Spain,STABLE
2023-04-22,PEPPERS,940.00,220.0,Belgium,VOLATILE
2023-05-08,OLIVE_OIL,3950.00,152.0,France,RISING
2023-05-20,CITRUS_FRUITS,1180.00,205.0,Germany,STABLE
2023-06-12,DATES,3150.00,118.0,France,RISING
2023-06-25,OLIVE_OIL,4000.00,155.0,France,RISING
2023-07-10,WHEAT,400.00,490.0,Italy,STABLE
2023-07-22,TOMATOES,860.00,320.0,Netherlands,RISING
2023-08-08,OLIVE_OIL,4050.00,158.0,France,RISING
2023-08-20,DATES,3200.00,120.0,Germany,STABLE
2023-09-10,CITRUS_FRUITS,1200.00,210.0,Spain,RISING
2023-09-22,PEPPERS,960.00,225.0,Belgium,VOLATILE
2023-10-12,OLIVE_OIL,4100.00,160.0,France,RISING
2023-10-25,DATES,3250.00,122.0,Italy,STABLE
2023-11-10,TOMATOES,880.00,325.0,France,RISING
2023-11-22,OLIVE_OIL,4150.00,162.0,France,RISING
2023-12-08,WHEAT,410.00,500.0,Germany,STABLE
2023-12-20,CITRUS_FRUITS,1220.00,215.0,Netherlands,STABLE
2024-01-10,OLIVE_OIL,4200.00,165.0,France,RISING
2024-01-22,DATES,3300.00,125.0,Belgium,RISING
2024-02-08,PEPPERS,980.00,230.0,Italy,VOLATILE
2024-02-20,TOMATOES,900.00,330.0,Spain,STABLE
2024-03-12,OLIVE_OIL,4250.00,168.0,France,RISING
2024-03-25,CITRUS_FRUITS,1240.00,220.0,Germany,RISING
2024-04-10,DATES,3350.00,128.0,France,RISING
2024-04-22,WHEAT,420.00,510.0,Italy,STABLE
2024-05-08,OLIVE_OIL,4300.00,170.0,France,RISING
2024-05-20,TOMATOES,920.00,335.0,Netherlands,STABLE
2024-06-12,DATES,3400.00,130.0,Germany,RISING
2024-06-25,OLIVE_OIL,4350.00,172.0,France,RISING
2024-07-10,CITRUS_FRUITS,1260.00,225.0,Belgium,STABLE
2024-07-22,PEPPERS,1000.00,235.0,Spain,VOLATILE
2024-08-08,OLIVE_OIL,4400.00,175.0,France,RISING
2024-08-20,DATES,3450.00,132.0,Italy,STABLE
2024-09-10,WHEAT,430.00,520.0,France,RISING
2024-09-22,TOMATOES,940.00,340.0,Germany,STABLE
2024-10-12,OLIVE_OIL,4450.00,178.0,France,RISING
2024-10-25,CITRUS_FRUITS,1280.00,230.0,Netherlands,RISING
2024-11-10,DATES,3500.00,135.0,Belgium,RISING
2024-11-22,OLIVE_OIL,4500.00,180.0,France,RISING
2024-12-08,PEPPERS,1020.00,240.0,Italy,VOLATILE
2024-12-20,TOMATOES,960.00,345.0,Spain,STABLE
